G6	G7	0.035742
G59	G74	0.028587
G56	G79	0.025861
G81	G48	0.02322
G4	G7	0.020767
G52	G48	0.019683
G92	G97	0.01866
G59	G86	0.018507
G4	G98	0.017118
G97	G92	0.016665
G7	G6	0.016166
G12	G71	0.015754
G52	G29	0.014895
G4	G97	0.014336
G79	G56	0.014253
G78	G85	0.014092
G59	G71	0.013956
G6	G10	0.013937
G7	G5	0.013773
G6	G98	0.013721
G12	G80	0.013531
G81	G52	0.01328
G6	G5	0.013046
G59	G5	0.012784
G4	G73	0.012631
G7	G28	0.012495
G94	G28	0.012278
G51	G83	0.012261
G7	G98	0.012167
G36	G28	0.012125
G36	G83	0.012125
G7	G4	0.011593
G85	G78	0.011475
G94	G20	0.011442
G31	G18	0.011298
G6	G18	0.011248
G6	G4	0.011228
G25	G26	0.01099
G35	G70	0.010961
G47	G70	0.010742
G51	G8	0.010728
G4	G11	0.010581
G4	G10	0.010552
G85	G66	0.010523
G9	G24	0.010477
G29	G83	0.010389
G59	G42	0.010362
G56	G73	0.010171
G66	G85	0.010138
G9	G83	0.0099833
G56	G77	0.0098757
G56	G92	0.0098461
G85	G60	0.0096033
G4	G6	0.0095015
G48	G52	0.0094517
G4	G66	0.0092243
G4	G38	0.009137
G25	G92	0.0090823
G92	G56	0.0089309
G92	G79	0.008898
G4	G78	0.0088606
G56	G83	0.0088464
G14	G28	0.0088259
G14	G32	0.0088153
G78	G98	0.0088142
G97	G11	0.0087836
G18	G31	0.0087387
G49	G98	0.0086694
G52	G81	0.0086549
G81	G77	0.008608
G34	G56	0.0084913
G56	G48	0.0084576
G12	G64	0.0084549
G71	G12	0.008351
G81	G20	0.0083352
G51	G41	0.0082994
G6	G31	0.0082409
G12	G89	0.0082225
G29	G52	0.0081825
G14	G10	0.0081638
G78	G84	0.008076
G35	G92	0.0080366
G48	G84	0.0079768
G56	G60	0.0079283
G93	G60	0.0079032
G47	G8	0.0078586
G66	G70	0.007823
G59	G72	0.0078219
G56	G42	0.0078021
G14	G26	0.0076803
G76	G70	0.0076481
G35	G86	0.0076246
G94	G82	0.0076174
G4	G5	0.0076017
G94	G15	0.007601
G20	G94	0.0075989
G6	G62	0.0075152
G94	G98	0.0075142
G81	G29	0.0074537
G77	G56	0.0074078
G20	G62	0.0073726
G36	G18	0.0073524
G47	G35	0.0073423
G81	G15	0.0073414
G92	G35	0.0073263
G94	G18	0.0072637
G7	G10	0.0072342
G6	G80	0.0072134
G36	G63	0.0072046
G56	G28	0.0071924
G59	G63	0.0071893
G52	G92	0.0071706
G25	G64	0.0071505
G77	G11	0.0071178
G35	G18	0.00708
G47	G96	0.0070145
G81	G10	0.0069901
G25	G44	0.0069533
G4	G29	0.0069059
G4	G63	0.006905
G92	G82	0.0069011
G92	G26	0.0068923
G6	G84	0.0068919
G94	G93	0.0068425
G14	G18	0.0068387
G6	G72	0.0068338
G48	G81	0.006816
G56	G34	0.0068026
G14	G15	0.0067825
G84	G48	0.0067779
G25	G38	0.0067726
G62	G20	0.0067682
G4	G46	0.0067316
G87	G97	0.0066973
G56	G33	0.0066892
G51	G74	0.0066701
G73	G98	0.0066383
G97	G66	0.0066294
G77	G82	0.0066243
G35	G74	0.006554
G12	G15	0.0065442
G1	G73	0.006458
G51	G66	0.0064565
G7	G29	0.0064531
G94	G85	0.0064108
G36	G31	0.0063832
G81	G44	0.0063629
G4	G71	0.0063615
G56	G66	0.006345
G51	G58	0.0063212
G73	G64	0.0063151
G9	G8	0.0063079
G93	G94	0.0063036
G20	G27	0.0062697
G85	G84	0.0062603
G92	G15	0.0062402
G9	G12	0.0062118
G56	G26	0.0062096
G81	G82	0.0062038
G25	G8	0.0062006
G94	G95	0.0061813
G14	G8	0.0061579
G59	G35	0.0061494
G14	G49	0.0061395
G16	G15	0.0061365
G9	G85	0.0061219
G79	G60	0.0061061
G9	G14	0.0060888
G76	G82	0.0060806
G6	G22	0.0060454
G85	G98	0.0060435
G31	G71	0.0060362
G81	G8	0.006035
G4	G44	0.0060307
G92	G66	0.0060264
G59	G60	0.0060179
G25	G14	0.005991
G87	G73	0.0059597
G97	G44	0.0059533
G72	G64	0.0059464
G47	G52	0.005938
G60	G82	0.0059274
G4	G77	0.0059151
G51	G31	0.0058891
G7	G96	0.0058864
G59	G99	0.0058734
G92	G52	0.0058478
G6	G60	0.0058432
G66	G60	0.0058304
G60	G85	0.0058054
G6	G85	0.0057944
G6	G89	0.0057764
G31	G85	0.0057659
G12	G24	0.0057585
G28	G94	0.0057198
G47	G11	0.0056968
G46	G82	0.0056845
G85	G31	0.0056709
G59	G8	0.0056638
G73	G56	0.0056562
G70	G66	0.0056437
G92	G25	0.0056242
G79	G92	0.0056241
G4	G26	0.0056082
G15	G8	0.0055911
G82	G60	0.005582
G97	G4	0.0055813
G78	G62	0.0055786
G56	G98	0.0055388
G12	G28	0.0055291
G9	G25	0.005519
G74	G59	0.0055046
G12	G95	0.0054778
G6	G87	0.0054775
G56	G15	0.0054662
G98	G49	0.0054431
G23	G28	0.00543
G90	G63	0.0054299
G47	G66	0.0054063
G6	G51	0.005397
G97	G16	0.0053914
G7	G26	0.0053746
G92	G32	0.0053701
G94	G42	0.0053656
G36	G44	0.0053285
G81	G25	0.0053277
G61	G73	0.0053222
G47	G38	0.0053175
G62	G48	0.0053019
G48	G60	0.0052839
G81	G74	0.005272
G80	G32	0.0052643
G71	G86	0.005253
G32	G80	0.0052426
G59	G38	0.0052342
G51	G29	0.0052108
G51	G76	0.0051995
G66	G8	0.005199
G67	G83	0.0051789
G25	G13	0.0051606
G92	G46	0.0051513
G77	G84	0.0051499
G97	G87	0.0051449
G12	G8	0.0051432
G80	G12	0.0051381
G86	G71	0.0051381
G12	G42	0.0051316
G20	G48	0.00512
G10	G48	0.005113
G77	G83	0.0051127
G93	G32	0.0051103
G97	G32	0.0050983
G56	G82	0.0050979
G70	G35	0.005093
G15	G16	0.0050893
G81	G33	0.0050498
G4	G89	0.0050492
G51	G42	0.0050474
G47	G18	0.0050381
G7	G74	0.0050143
G45	G70	0.0050083
G49	G14	0.0050082
G4	G47	0.0049953
G98	G78	0.0049731
G73	G63	0.0049557
G56	G21	0.0049554
G37	G58	0.0049543
G6	G46	0.004954
G28	G7	0.0049516
G66	G83	0.004951
G29	G38	0.0049483
G18	G84	0.0049398
G85	G15	0.0049284
G89	G8	0.0049213
G18	G63	0.0049202
G62	G32	0.0049181
G81	G32	0.0049058
G77	G42	0.0049033
G14	G78	0.0048936
G47	G97	0.0048914
G87	G92	0.0048868
G5	G7	0.0048852
G9	G58	0.0048813
G19	G24	0.0048721
G12	G18	0.0048611
G77	G71	0.0048611
G81	G38	0.0048581
G66	G97	0.004848
G33	G46	0.0048446
G4	G49	0.0048375
G93	G85	0.0048365
G25	G81	0.0048337
G10	G14	0.0048287
G87	G35	0.0048222
G7	G66	0.0048216
G69	G32	0.0048203
G12	G31	0.0048119
G77	G26	0.0048094
G29	G11	0.0048066
G83	G29	0.0047945
G4	G92	0.0047852
G71	G31	0.0047794
G95	G80	0.0047663
G76	G98	0.0047608
G36	G34	0.0047481
G61	G83	0.0047467
G97	G77	0.0047321
G59	G3	0.0047233
G76	G83	0.0047216
G85	G48	0.0047115
G16	G10	0.0047048
G93	G82	0.0046826
G8	G89	0.004675
G92	G78	0.0046747
G6	G99	0.004671
G87	G20	0.0046551
G7	G77	0.0046444
G78	G32	0.0046439
G14	G41	0.0046426
G86	G59	0.0046392
G28	G14	0.0046266
G98	G73	0.0046226
G97	G28	0.0046222
G35	G87	0.0046072
G81	G49	0.0045983
G70	G76	0.0045956
G25	G79	0.0045739
G78	G66	0.0045704
G56	G80	0.0045647
G4	G48	0.0045608
G48	G10	0.00456
G59	G70	0.0045586
G12	G63	0.004556
G16	G97	0.0045344
G10	G74	0.0045262
G87	G89	0.0045258
G52	G74	0.0045176
G30	G74	0.0045117
G77	G95	0.0045104
G84	G78	0.0045071
G79	G38	0.0044965
G47	G87	0.004494
G35	G47	0.0044852
G80	G83	0.0044727
G77	G97	0.004472
G66	G63	0.0044696
G77	G78	0.0044682
G16	G60	0.0044546
G4	G9	0.004443
G8	G15	0.0044369
G33	G56	0.0044243
G86	G63	0.0044217
G33	G11	0.0044195
G93	G84	0.0044143
G7	G52	0.0044121
G76	G66	0.0043974
G25	G9	0.0043938
G93	G28	0.0043919
G59	G45	0.0043913
G80	G64	0.0043847
G51	G82	0.0043722
G4	G12	0.0043708
G36	G24	0.0043658
G62	G78	0.0043599
G98	G7	0.0043594
G81	G5	0.004359
G7	G99	0.0043505
G92	G87	0.0043467
G29	G26	0.004335
G29	G64	0.0043338
G12	G23	0.0043201
G94	G96	0.0043161
G59	G15	0.0043123
G34	G74	0.0043084
G49	G73	0.0043001
G6	G73	0.004298
G81	G62	0.0042929
G15	G82	0.0042834
G81	G79	0.004276
G18	G28	0.0042733
G61	G29	0.0042639
G32	G14	0.004252
G8	G64	0.0042499
G33	G70	0.0042433
G84	G85	0.0042352
G51	G26	0.00423
G76	G8	0.0042144
G25	G77	0.0042054
G76	G79	0.0041978
G79	G66	0.0041967
G6	G82	0.004194
G28	G83	0.0041935
G47	G92	0.0041912
G59	G73	0.0041886
G4	G14	0.0041812
G59	G98	0.0041806
G67	G8	0.0041787
G94	G64	0.0041766
G6	G28	0.0041764
G23	G49	0.0041755
G72	G66	0.0041748
G56	G85	0.0041699
G34	G94	0.0041689
G85	G94	0.0041569
G35	G38	0.004154
G51	G85	0.0041528
G45	G15	0.0041507
G66	G79	0.0041506
G36	G32	0.0041411
G94	G84	0.0041397
G31	G64	0.0041332
G56	G46	0.0041299
G46	G33	0.0041267
G77	G5	0.0041208
G4	G58	0.0041201
G48	G62	0.0041148
G1	G80	0.0041118
G52	G47	0.0041084
G85	G73	0.0041059
G23	G33	0.0041058
G84	G63	0.0041032
G76	G89	0.0041008
G66	G92	0.0040891
G90	G98	0.0040836
G9	G41	0.0040808
G79	G89	0.0040731
G14	G64	0.0040716
G48	G50	0.0040704
G1	G24	0.0040655
G95	G28	0.0040652
G51	G20	0.0040607
G7	G84	0.004057
G36	G67	0.0040523
G36	G60	0.0040516
G31	G84	0.0040476
G94	G13	0.0040445
G71	G59	0.0040388
